vendor_id,vendor_name,case_id,case_name,case_type,evidence_strength,tier,is_false_positive,fp_reason,curriculum_weight,year_start,year_end,changed
124393,CYBER ROBOTIC SOLUTIONS SA DE CV,1,COVID-19 Emergency Procurement Irregularities,embezzlement,high,3,0,active_or_captured:high,0.8,2020,2021,True
26793,"LOMEDIC, S.A. DE C.V.",1,COVID-19 Emergency Procurement Irregularities,embezzlement,medium,3,0,active_or_captured:medium,0.5,2020,2021,True
42890,FARMACEUTICOS MAYPO,1,COVID-19 Emergency Procurement Irregularities,embezzlement,medium,3,0,active_or_captured:medium,0.5,2020,2021,True
13885,"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MEDICO, S.A. DE C.V.",1,COVID-19 Emergency Procurement Irregularities,embezzlement,medium,3,0,active_or_captured:medium,0.5,2020,2021,True
5196,"IMPORTADORA Y MANUFACTURERA BRULUART, S.A.",1,COVID-19 Emergency Procurement Irregularities,embezzlement,medium,3,0,active_or_captured:medium,0.5,2020,2021,True
14057,EQUIPOS MEDICOS VIZCARRA,1,COVID-19 Emergency Procurement Irregularities,embezzlement,medium,3,0,active_or_captured:medium,0.5,2020,2021,True
4249,"GRUPO CONSTRUCTOR ROGURA, S.A. DE C.V.",2,La Estafa Maestra,ghost_company,high,3,0,active_or_captured:high,0.8,2013,2018,True
16951,"GRUPO CONSTRUCTOR CINCO, S.A. DE C.V.",2,La Estafa Maestra,ghost_company,medium,3,0,active_or_captured:medium,0.5,2013,2018,True
19852,DISTRIBUIDORA QUIRURGICA NACIONAL S.A.DE C.V.,3,IMSS Ghost Company Network,ghost_company,medium,3,0,active_or_captured:medium,0.5,2012,2018,True
4335,"LABORATORIOS PISA, S.A. DE C.V.",3,IMSS Ghost Company Network,ghost_company,low,2,0,beneficiary_low_evidence:pharma_in_ghost_network,0.1,2012,2018,True
209773,ALTOS HORNOS DE MEXICO S A B DE C V,4,Odebrecht-PEMEX Bribery Scheme,bribery,medium,3,0,active_or_captured:medium,0.5,2010,2016,True
441,TRADECO INFRAESTRUCTURA S.A. DE C.V.,4,Odebrecht-PEMEX Bribery Scheme,bribery,medium,3,0,active_or_captured:medium,0.5,2010,2016,True
10775,"LICONSA, S.A. DE C.V.",5,Segalmex Food Distribution Fraud,procurement_fraud,high,3,0,active_or_captured:high,0.8,2019,2023,True
38534,"DICONSA, S.A. DE C.V.",5,Segalmex Food Distribution Fraud,procurement_fraud,high,3,0,active_or_captured:high,0.8,2019,2023,True
229178,D SAZON SEGURIDAD ALIMENTARIA SA DE CV,5,Segalmex Food Distribution Fraud,procurement_fraud,medium,3,0,active_or_captured:medium,0.5,2019,2023,True
42334,CONSTRUCTORA TEYA S.A. DE C.V.,6,Grupo Higa / Casa Blanca,conflict_of_interest,high,3,0,active_or_captured:high,0.8,2010,2018,True
8362,"OCEANOGRAFIA, S.A.",7,Oceanografia PEMEX Fraud,procurement_fraud,high,3,0,active_or_captured:high,0.8,2008,2014,True
124393,CYBER ROBOTIC SOLUTIONS SA DE CV,8,IT Procurement Overpricing,overpricing,high,3,0,active_or_captured:high,0.8,2015,2024,True
286318,SERVICIOS INTEGRALES RETIMAR SA DE CV,10,IPN Cartel de la Limpieza,bribery,high,3,0,active_or_captured:high,0.8,2015,2024,True
258499,ICA CONSTRUCTORA SA DE CV,11,Infrastructure Procurement Fraud Network,procurement_fraud,high,3,0,active_or_captured:high,0.8,2008,2025,True
48064,COCONAL  SAPI DE CV,11,Infrastructure Procurement Fraud Network,procurement_fraud,high,3,0,active_or_captured:high,0.8,2008,2025,True
104322,"COCONAL, S.A.P.I. DE C.V.",11,Infrastructure Procurement Fraud Network,procurement_fraud,high,3,0,active_or_captured:high,0.8,2008,2025,True
312,COCONAL S.A. DE C.V.,11,Infrastructure Procurement Fraud Network,procurement_fraud,high,3,0,active_or_captured:high,0.8,2008,2025,True
108513,MOTA-ENGIL MEXICO SA DE CV,11,Infrastructure Procurement Fraud Network,procurement_fraud,high,3,0,active_or_captured:high,0.8,2008,2025,True
102627,TOKA INTERNACIONAL S A P I DE CV,12,Toka Government IT Monopoly,procurement_fraud,high,3,0,active_or_captured:high,0.8,2015,2024,True
8002,"COTEMAR, S. A. DE C. V.",13,PEMEX-Cotemar Irregularities,procurement_fraud,high,3,0,active_or_captured:high,0.8,2010,2024,True
43904,SIXSIGMA NETWORKS MEXICO,14,SAT Tender Rigging (SixSigma),bid_rigging,high,3,0,active_or_captured:high,0.8,2015,2024,True
44372,EDENRED MEXICO SA DE CV,15,Government Voucher Monopoly (Edenred),procurement_fraud,medium,3,0,active_or_captured:medium,0.5,2010,2024,True
44553,CASANOVA VALLEJO SA DE CV,16,ISSSTE Ambulance Leasing Fraud (Casanova Vallejo),overpricing,high,3,0,active_or_captured:high,0.8,2011,2025,True
981,"MAINBIT, S.A. DE C.V.",19,SEGOB-Mainbit IT Monopoly (Osorio Chong Era),procurement_fraud,high,3,0,active_or_captured:high,0.8,2002,2025,True
158864,ETHOMEDICAL SA DE CV,20,IMSS Overpriced Medicines — Ethomedical Network,overpricing,high,3,0,active_or_captured:high,0.8,2015,2024,True
243542,"Fonatur Infraestructura, S.A. de C.V.",21,Tren Maya Direct Award Irregularities (FONATUR Infraestructura),procurement_fraud,high,3,0,active_or_captured:high,0.8,2019,2024,True
220903,"CONSORCIO HANDEL&BAUEN, COMERCIO Y EDIFICACION SA DE CV",22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
248612,COMERCIO Y CONSTRUCCION DE TABASCO SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
221634,EDIFICACIONES HALA KEN SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
279168,CONSTRUAGREGADOS HOPELCHEN SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
236078,FERROCLIN U&Q SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
248360,DAGICO SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
290509,CONSTRUCTORA BARLE SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
244785,SERVICIOS Y SUMINISTROS KAABA SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
221026,LIDXI MATERIALES SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
247986,MARROME SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
258893,SERVICIOS DE LIMPIEZA ECOCLORX SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
234341,SERVICIOS ESPECIALES PARA LA CONSTRUCCION COFRADIA SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
301794,SERVICIOS COMERCIALES SHAJAE SA DE CV,22,SAT EFOS Art. 69-B Definitivo Ghost Company Network,ghost_company,high,4,0,confirmed_ghost_company,1.0,2014,2026,True
